species,family
Alicyclobacillus_pohliae,Alicyclobacillaceae
Vibrio_kanaloae,Vibrionaceae
Fusobacterium_gonidiaformans,Fusobacteriaceae
Varibaculum_cambriense,Actinomycetaceae
Campylobacter_ureolyticus,Campylobacteraceae
Lactobacillus_pentosus,Lactobacillaceae
Lactobacillus_phage_Lrm1,Larmunavirus
Veillonella_ratti,Veillonellaceae
Salmonella_phage_SSU5,Uroviricota
Staphylococcus_phage_PVL,Peeveelvirus
Olsenella_profusa,Atopobiaceae
Prevotella_oris,Prevotellaceae
Prevotella_salivae,Prevotellaceae
Coriobacteriaceae_bacterium_BV3Ac1,Coriobacteriales
Corynebacterium_aurimucosum,Corynebacteriaceae
Mobiluncus_curtisii,Actinomycetaceae
Peptoniphilus_duerdenii,Peptoniphilaceae
Dialister_micraerophilus,Veillonellaceae
Corynebacterium_amycolatum,Corynebacteriaceae
Prevotella_bergensis,Prevotellaceae
Corynebacterium_jeikeium,Corynebacteriaceae
Enterobacteria_phage_mEpX1,Cuauhtlivirus
Allobaculum_stercoricanis,Erysipelotrichaceae
Marvinbryantia_formatexigens,Lachnospiraceae
Providencia_stuartii,Morganellaceae
Leuconostoc_pseudomesenteroides,Lactobacillaceae
Prevotella_denticola,Prevotellaceae
Lactobacillus_reuteri,Lactobacillaceae
Lactobacillus_sanfranciscensis,Lactobacillaceae
Propionibacterium_phage_PAS50,Pahexavirus
Enterobacteria_phage_HK633,Saikungvirus
Corynebacterium_matruchotii,Corynebacteriaceae
Shuttleworthia_satelles,Lachnospiraceae
Lactobacillus_antri,Lactobacillaceae
Clostridium_phytofermentans,Lachnospirales
Providencia_alcalifaciens,Morganellaceae
Dysgonomonas_gadei,Dysgonomonadaceae
Escherichia_hermannii,Enterobacteriaceae
Campylobacter_showae,Campylobacteraceae
